run_id,dataset,config,best_val_accuracy,final_test_accuracy
cnn_relu_rmsprop_he_normal_l2_32x64x128,fmnist,"{'filters': [32, 64, 128], 'kernel': 3, 'activation': 'relu', 'regularizer': 'l2', 'reg_value': 0.0001, 'dropout': 0.4, 'optimizer': 'rmsprop', 'initializer': 'he_normal'}",0.937666654586792,0.9248999953269958
cnn_relu_adam_glorot_uniform_None_32x64x128,fmnist,"{'filters': [32, 64, 128], 'kernel': 5, 'activation': 'relu', 'regularizer': None, 'dropout': 0.4, 'optimizer': 'adam', 'initializer': 'glorot_uniform'}",0.9303333163261414,0.9104999899864197
cnn_relu_adam_he_normal_None_32x64x128,fmnist,"{'filters': [32, 64, 128], 'kernel': 5, 'activation': 'relu', 'regularizer': None, 'dropout': 0.4, 'optimizer': 'adam', 'initializer': 'he_normal'}",0.9375,0.9214000105857849
cnn_relu_sgd_glorot_uniform_None_32x64x128,fmnist,"{'filters': [32, 64, 128], 'kernel': 5, 'activation': 'relu', 'regularizer': None, 'dropout': 0.4, 'optimizer': 'sgd', 'initializer': 'glorot_uniform'}",0.9210000038146973,0.9101999998092651
cnn_relu_sgd_he_normal_None_32x64x128,fmnist,"{'filters': [32, 64, 128], 'kernel': 5, 'activation': 'relu', 'regularizer': None, 'dropout': 0.4, 'optimizer': 'sgd', 'initializer': 'he_normal'}",0.9348333477973938,0.9211999773979187
cnn_relu_rmsprop_glorot_uniform_None_32x64x128,fmnist,"{'filters': [32, 64, 128], 'kernel': 5, 'activation': 'relu', 'regularizer': None, 'dropout': 0.4, 'optimizer': 'rmsprop', 'initializer': 'glorot_uniform'}",0.9363333582878113,0.9210000038146973
cnn_relu_rmsprop_he_normal_None_32x64x128,fmnist,"{'filters': [32, 64, 128], 'kernel': 5, 'activation': 'relu', 'regularizer': None, 'dropout': 0.4, 'optimizer': 'rmsprop', 'initializer': 'he_normal'}",0.9281666874885559,0.9097999930381775
cnn_elu_adam_glorot_uniform_None_64x128,fmnist,"{'filters': [64, 128], 'kernel': 3, 'activation': 'elu', 'regularizer': None, 'dropout': 0.3, 'optimizer': 'adam', 'initializer': 'glorot_uniform'}",0.9380000233650208,0.9197999835014343
cnn_elu_adam_he_normal_None_64x128,fmnist,"{'filters': [64, 128], 'kernel': 3, 'activation': 'elu', 'regularizer': None, 'dropout': 0.3, 'optimizer': 'adam', 'initializer': 'he_normal'}",0.9328333139419556,0.9157000184059143
cnn_elu_sgd_glorot_uniform_None_64x128,fmnist,"{'filters': [64, 128], 'kernel': 3, 'activation': 'elu', 'regularizer': None, 'dropout': 0.3, 'optimizer': 'sgd', 'initializer': 'glorot_uniform'}",0.9266666769981384,0.9178000092506409
cnn_elu_sgd_he_normal_None_64x128,fmnist,"{'filters': [64, 128], 'kernel': 3, 'activation': 'elu', 'regularizer': None, 'dropout': 0.3, 'optimizer': 'sgd', 'initializer': 'he_normal'}",0.9338333606719971,0.9187999963760376
cnn_elu_rmsprop_glorot_uniform_None_64x128,fmnist,"{'filters': [64, 128], 'kernel': 3, 'activation': 'elu', 'regularizer': None, 'dropout': 0.3, 'optimizer': 'rmsprop', 'initializer': 'glorot_uniform'}",0.9401666522026062,0.9269999861717224
cnn_elu_rmsprop_he_normal_None_64x128,fmnist,"{'filters': [64, 128], 'kernel': 3, 'activation': 'elu', 'regularizer': None, 'dropout': 0.3, 'optimizer': 'rmsprop', 'initializer': 'he_normal'}",0.937166690826416,0.9272000193595886
